JID,AID,OPEN ACCESS
MD,MD-D-15-02478,Yes
MD,MD-D-15-02170,Yes
MD,MD-D-15-04602,Yes
MD,MD-D-15-01305,Yes
MD,MD-D-15-04520,Yes
MD,MD-D-15-05091,Yes
MD,MD-D-15-03084,Yes
MD,MD-D-15-03130,Yes
MD,MD-D-15-03425,Yes
MD,MD-D-15-02599,Yes
MD,MD-D-15-04533,Yes
MD,MD-D-15-04805,Yes
MD,MD-D-15-03164,Yes
MD,MD-D-15-03432,Yes
MD,MD-D-15-02093,Yes
MD,MD-D-15-04494,Yes
MD,MD-D-15-03958,Yes
MD,MD-D-15-03643,Yes
MD,MD-D-15-02157,Yes
MD,MD-D-15-03360,Yes
MD,MD-D-15-03842,Yes
MD,MD-D-15-03220,Yes
MD,MD-D-15-04399,Yes
MD,MD-D-15-04335,Yes
MD,MD-D-15-03976,Yes
MD,MD-D-15-02811,Yes
MD,MD-D-15-04447,Yes
MD,MD-D-15-04916,Yes
MD,MD-D-15-04636,Yes
MD,MD-D-15-04067,Yes
MD,MD-D-15-03578,Yes
MD,MD-D-15-04133,Yes
MD,MD-D-15-03142,Yes
MD,MD-D-15-05421,Yes
MD,MD-D-15-04033,Yes
MD,MD-D-15-04082,Yes
SPINE,SPINE151380,Yes
MD,MD-D-15-01305,Yes
MD,MD-D-15-04533,Yes
MD,MD-D-15-02822,Yes
MD,MD-D-15-02326,Yes
MD,MD-D-15-04923,Yes
MD,MD-D-15-04460,Yes
MD,MD-D-15-03649,Yes
SPINE,SPINE151254,Yes
MD,MD-D-15-03367,Yes
MD,MD-D-15-03361,Yes
MD,MD-D-15-02670,Yes
MD,MD-D-15-05500,Yes
MD,MD-D-15-04871,Yes
MD,MD-D-15-04525,Yes
MD,MD-D-15-02269,Yes
MD,MD-D-15-03734,Yes
MD,MD-D-15-03666,Yes
MD,MD-D-15-02550,Yes
MD,MD-D-15-03493,Yes
MD,MD-D-15-03164,Yes
SPINE,SPINE151254,Yes
MD,MD-D-15-04520,Yes
MD,MD-D-15-05074,Yes
MD,MD-D-15-04241,Yes
