circledR &#x00AE;
rceil &#x2309;
rcub &#x007D;
Rcy &#x0420;
rcy &#x0440;
rdquo &#x201D;
rdquor &#x201C;
Re &#x211C;
real &#x211C;
rect &#x25AD;
reg &#x00AE;
rfloor &#x230B;
Rgr &#x03A1;
rgr &#x03C1;
rhard &#x21C1;
rharu &#x21C0;
Rho &#x03A1;
rho &#x03C1;
rhov &#x03F1;
ring &#x02DA;
rlarr2 &#x21C4;
rlhar2 &#x21CC;
rlm &#x200F;
ropcub &#x2984;
rpar &#x0029;
rpargt &#xE291;
rsh &#x21B1;
rsqb &#x005D;
rsquo &#x2019;
rsquor &#x2018;
rthree &#x22CC;
rtimes &#x22CA;
rtri &#x25B9;
rtrie &#x22B5;
rtrif &#x25B8;
rx &#x211E;
Sacute &#x015A;
sacute &#x015B;
samalg &#x2A3F;
sbsol &#xFE68;
sc &#x227B;
scap &#x2AB8;
Scaron &#x0160;
scaron &#x0161;
sccue &#x227D;
sce &#x2AB0;
Scedil &#x015E;
scedil &#x015F;
Scirc &#x015C;
scirc &#x015D;
scnap &#x2ABA;
scnE &#x2AB6;
scnsim &#x22E9;
scsim &#x227F;
Scy &#x0421;
scy &#x0441;
sdot &#x22C5;
sdotb &#x22A1;
sect &#x00A7;
semi &#x003B;
setmn &#xE844;
sext &#x2736;
sfgr &#x03C2;
sfrown &#xE843;
Sgr &#x03A3;
sgr &#x03C3;
sharp &#x266F;
SHCHcy &#x0429;
shchcy &#x0449;
SHcy &#x0428;
shcy &#x0448;
shy &#x00AD;
Sigma &#x03A3;
sigma &#x03C3;
sigmav &#x03C2;
sim &#x223C;
sime &#x2243;
smallint &#xF8FD;
smallsetminus &#x2216;
smid &#xE301;
smile &#x2323;
SOFTcy &#x042C;
softcy &#x044C;
sol &#x2215;
solm0 &#xF8DC;
solm1 &#xF8DD;
solm2 &#xF8DE;
solm3 &#xF8DF;
solm4 &#xF8E0;
spades &#x2660;
spar &#xE302;
sqbl0 &#xF8E1;
sqbl1 &#xF8E2;
sqbl2 &#xF8E3;
sqbl3 &#xF8E4;
sqbl4 &#xF8E5;
sqbr0 &#xF8E6;
sqbr1 &#xF8E7;
sqbr2 &#xF8E8;
sqbr3 &#xF8E9;
sqbr4 &#xF8EA;
sqcap &#x2293;
sqcup &#x2294;
sqsub &#x228F;
sqsube &#x2291;
sqsup &#x2290;
sqsupe &#x2292;
squ &#x25A1;
square &#x25A1;
squf &#x25AA;
ssetmn &#x2216;
ssmile &#xE303;
sstarf &#x22C6;
star &#x22C6;
starf &#x2605;
starf &#x2605;
sub &#x2282;
Sub &#x22D0;
sube &#x2286;
subE &#x2AC5;
subne &#x228A;
subnE &#x2ACB;
sum &#x2211;
sung &#x2669;
sup1 &#x00B9;
sup2 &#x00B2;
sup3 &#x00B3;
sup &#x2283;
Sup &#x22D1;
supe &#x2287;
supE &#x2AC6;
supne &#x228B;
supnE &#x2ACC;
surd &#x221A;
szlig &#x00DF;
target &#x2316;
Tau &#x03A4;
tau &#x03C4;
Tcaron &#x0164;
tcaron &#x0165;
Tcedil &#x0162;
tcedil &#x0163;
Tcy &#x0422;
tcy &#x0442;
tdot &#x20DB;
telrec &#x2315;
Tgr &#x03A4;
tgr &#x03C4;
there4 &#x2234;
Theta &#x0398;
theta &#x03B8;
thetas &#x03B8;
thetav &#x03D1;
THgr &#x0398;
thgr &#x03B8;
thickapprox &#xE306;
thicksim &#xE662;
thinsp &#x2009;
ThickSpace &#x2004;
thkap &#xE306;
thksim &#xE662;
THORN &#x00DE;
thorn &#x00FE;
tilde &#x0303;
times &#x00D7;
timesb &#x22A0;
top &#x22A4;
tprime &#x2034;
trade &#x2122;
trie &#x225C;
TScy &#x0426;
tscy &#x0446;
TSHcy &#x040B;
tshcy &#x045B;
Tstrok &#x0166;
tstrok &#x0167;
twixt &#x226C;
Uacgr &#x038E;
uacgr &#x03CD;
Uacute &#x00DA;
uacute &#x00FA;
uarr2 &#x21C8;
uarr &#x2191;
uArr &#x21D1;
Ubrcy &#x040E;
ubrcy &#x045E;
Ubreve &#x016C;
ubreve &#x016D;
Ucirc &#x00DB;
ucirc &#x00FB;
Ucy &#x0423;
ucy &#x0443;
Udblac &#x0170;
udblac &#x0171;
udiagr &#x03B0;
Udigr &#x03AB;
udigr &#x03CB;
Ugr &#x03A5;
ugr &#x03C5;
Ugrave &#x00D9;
ugrave &#x00F9;
uharl &#x21BF;
uharr &#x21BE;
uhblk &#x2580;
ulcorn &#x231C;
ulcrop &#x230F;
Umacr &#x016A;
umacr &#x016B;
uml &#x00A8;
UnderBar &#x0332;
Uogon &#x0172;
uogon &#x0173;
uplus &#x2A04;
upsi &#x03C5;
Upsi &#x03D2;
Upsilon &#x03A5;
upsilon &#x03C5;
urcorn &#x231D;
urcrop &#x230E;
Uring &#x016E;
uring &#x016F;
Utilde &#x0168;
utilde &#x0169;
utri &#x25B5;
utrif &#x25B4;
Uuml &#x00DC;
uuml &#x00FC;
varr &#x2195;
vArr &#x21D5;
vbm0 &#xF8EB;
vbm1 &#xF8EC;
vbm2 &#xF8ED;
vbm3 &#xF8EE;
vbm4 &#xF8EF;
Vcy &#x0412;
vcy &#x0432;
vdash &#x22A2;
vDash &#x22A8;
Vdash &#x22A9;
vDelta &#xF8FC;
vec &#x20D7;
veebar &#x22BB;
vellip &#x22EE;
verbar &#x007C;
Verbar &#x2016;
vGamma &#xF8FB;
vLambda &#xF8FA;
vltri &#x22B2;
vOmega &#xF8F9;
vPhi &#xF8F8;
vPi &#xF8F7;
vprop &#xE847;
vPsi &#xF8F6;
vrtri &#x22B3;
vSigma &#xF8F5;
vsubnE &#xE2B8;
vsubne &#xE2B9;
vsupne &#xE2BA;
vsupnE &#xE2BB;
vTheta &#xF8F4;
vtri &#x25B5;
vUpsilon &#xF8F3;
Vvdash &#x22AA;
vXi &#xF8F2;
Wcirc &#x0174;
wcirc &#x0175;
wedgeq &#x2259;
wreath &#x2240;
xcirc &#x25CB;
xdtri &#x25BD;
Xgr &#x039E;
xgr &#x03BE;
xhArr &#x2194;
*** &xharr &#x2194;****
*** &xharr &#x27F7;****
xhArr &#x27FA;
Xi &#x039E;
xi &#x03BE;
xlarr &#x27F5;
xlArr &#x21D0;
xlArr &#x27F8;
xrArr &#x21D2;
xrarr &#x27F6;
xrArr &#x27F9;
xutri &#x25B3;
Yacute &#x00DD;
yacute &#x00FD;
YAcy &#x042F;
yacy &#x044F;
Ycirc &#x0176;
ycirc &#x0177;
Ycy &#x042B;
ycy &#x044B;
yen &#x00A5;
YIcy &#x0407;
yicy &#x0457;
YUcy &#x042E;
yucy &#x044E;
yuml &#x00FF;
Yuml &#x0178;
Zacute &#x0179;
zacute &#x017A;
Zcaron &#x017D;
zcaron &#x017E;
Zcy &#x0417;
zcy &#x0437;
Zdot &#x017B;
zdot &#x017C;
Zeta &#x0396;
zeta &#x03B6;
Zgr &#x0396;
zgr &#x03B6;
ZHcy &#x0416;
zhcy &#x0436;
zwj &#x200D;
zwnj &#x200C;
PlusMinus &#x000B1;
Sqrt &#x0221A;
ETH &#x000D0;
straightepsilon &#x003B5;
geq &#x02265;
z.rsquo &#x0203A;
leq &#x02264;
PartialD &#x02202;
RightArrow &#x02192;
approx &#x02248;
CenterDot &#x000B7;
vee &#x02228;
varsigma &#x003C2;
NotEqual &#x02260;
Element &#x02208;
MinusPlus &#x02213;
varpi &#x003D6;
DiacriticalAcute &#x00B4;
ApplyFunction &#x2061;
z.squf &#x025A0;
